id_developer,developer
266,Crocodile Entertainment
267,Croteam
268,Crowbar Collective
269,Cryptic Sea
270,Cryptic Studios
271,Crystal Dynamics
272,"Crystal Dynamics,Eidos-MontrÃ©al,Feral Interactive (Mac),Feral Interactive (Linux)"
273,Crytek
274,Crytivo
275,Cube Roots
276,Cubic Pie
277,Curve Studios
278,Cyanide
279,Cyanide Montreal
280,Cyanide Studio
281,Cyanide Studios
282,Cyberdreams
283,Cyberlore
284,Cyril Megem
285,D-Pad Studio
286,DIMPS
287,DL Softworks
288,DONTNOD Entertainment
289,"DQ Team,Hidden Hallow Studio"
290,DR Studios
291,Daedalic Entertainment
292,"Daedalic Entertainment,Irresponsible Games"
293,"Damian Sommer,Emily Carroll"
294,"Dan  Walters,Ceri Williams"
295,Dan Fornace
296,Dancing Dragon Games
297,Daniel Davies
298,Daniel Jonathan Bourke
299,Dark Artz Entertainment
300,Dark Day Interactive
301,Dark Gaia Studios
302,Darkelite Studio Inc
303,Data Realms
304,David Erosa
305,"David Hensley,Alex Quick"
306,David OReilly
307,David Szymanski
308,David Williamson
309,Day 1 Studios
310,Day Dreamer Games
311,Daybreak Game Company
312,Daylight Studios
313,Days of Wonder
314,DeXP
315,Deadghost Interactive
316,"Deceptive Games,Gavin Powell"
317,Deck 13
318,Deconstructeam
319,Dedication Games
320,Deep Red Limited
321,Deep Silver Volition
322,Defrost Games
323,"Dejobaan Games, LLC"
324,"Dejobaan Games, LLC,Owlchemy Labs"
325,Dekovir Entertainment
326,Delphine Software
327,Dennaton Games
328,Desert Owl Games LLC
329,Destructive Creations
330,Devil's Details
331,Devin Sherry
332,Dialogue Design
333,Die Gute Fabrik
334,DiezelPower
335,"Diggidy.net, LLC"
336,DigiFX Interactive
337,Digital Confectioners
338,Digital Entertainment
339,Digital Extremes
340,Digital Leisure Inc.
341,Digital Reality
342,Digital Reality Software & Playbox
343,DigitalDNA Games LLC
344,Digitalmindsoft
345,Diminished Studios
346,Dingaling
347,Dinosaur Polo Club
348,Dlala Studios
349,DnS Development
350,Doctor Entertainment AB
351,DolphinBarn
352,Donut Games
353,Doragon Entertainment
354,DotEmu
355,"DotEmu,DreamForge Intertainment"
356,Double Damage Games
357,Double Eleven
358,Double Fine Productions
359,Double Helix Games
360,DoubleDutch Games
361,Dragonfly
362,Drakkar Dev
363,Dreadbit
364,DreamsSoftGames
365,DrinkBox Studios
366,Drixy Games
367,Droqen
368,Drowning Monkeys Games
369,Dry Cactus
370,Duelboot
371,Dylan Fitterer
372,Dylan Loney
373,Dynamic Games
374,EA Black Box
375,EA Redwood Shores
376,"EQ-Games , Pixel Dash Studios"
377,ES Team
378,EXOR Studios
379,Eat Create Sleep
380,Eclipse Games
381,Ed Curtis-Sivess
382,Ed Key and David Kanaga
383,Eden Industries
384,Edmund McMillen and Florian Himsl
385,"Edmund McMillen,James Id"
386,"Edmund McMillen,Tyler Glaiel"
387,Eggcode
388,Eggtooth Team
389,Eidos Studio Hungary
390,"Eidos-MontrÃ©al,Feral Interactive (Mac)"
391,EightyEightGames
392,Eko Software
393,Elder Games
394,Elecorn
395,Electronic Paradise
396,Eleon Game Studios
397,"Elias Viglione,Jussi Kukkonen"
398,Elijah Newman-Gomez
399,Elixir Studios
400,Elliptic Games
401,Empty Clip Studios
402,Endless Loop Studios
403,Endlessfluff Games
404,Endnight Games Ltd
405,"Engient, Inc"
406,Enitvare
407,Enlight Software Limited
408,"Enlight Software Limited, PerspectX"
409,Ennoble Studios
410,Enter Skies
411,Entrada Interactive LLC
412,Epixx.org
413,"Eric Hartman,Ben Garney,Anthony Rotondo"
414,Erik Asmussen
415,"Erik SvedÃ¤ng,El Huervo / Niklas Ã…kerblad,Tobias SjÃ¶gren,Oscar ""Ratvader"" Rydelius,Johannes GotlÃ©n"
416,Estudio Raed Wulf
417,Eutechnyx
418,Everything Unlimited Ltd.
419,Evil Twin Artworks
420,Exato Games Studio
421,Excalibur
422,Exkee
423,Exquisite Games
424,Extend Studio
425,Eyebrow Interactive
426,Eyedentity Games Inc.
427,FNGames
428,"Fabio Ferrara,Giulia Airoldi"
429,Facepunch Studios
430,Fair Games Studio
431,Fakt Software
432,"Fancy Bytes, Reactor"
433,FarSight Studios
434,Faravid Interactive
435,FarrugiaSoft
436,Farsky Interactive
437,Fatshark
438,Fermenter Games
439,Filament Games
440,Final Form Games
441,Firaxis Games
442,"Firaxis Games,Feral Interactive (Mac)"
443,Fire Hose Games
444,FireFly Studios
445,Firebrand Games
446,Firedance Games
447,Firemint
448,Fireproof Games
449,Fishcow Studio
450,Fishing Planet LLC
451,Fistful of Frags Team
452,Five Cubed
453,"Flashback Games,The Lordz Games Studio"
454,Flat Software
455,Flippfly LLC
456,Flump Studios
457,Fly System
458,Flying Cafe for Semianimals
459,Flying Mollusk
460,Flying Wild Hog
461,Flyleap Studios Pty. Ltd.
462,FobTi interactive
463,Focus Home Interactive
464,Force Of Habit
465,Forever Entertainment S. A.
466,Forge Reply srl
467,"Fortress Forever Development Team,Trepid Studios"
468,Four Circle Interactive
469,FreakZone Games
470,Free Lives
471,Freebird Games
472,Freejam
473,Fresh3D
474,Freshtrax
475,Frictional Games
476,Frima
477,Frima Studio
478,Frogdice
479,Frogwares
480,From Soy Sauce LLC
481,Frontier Developments
482,Frozenbyte
483,Full Control
484,Full Control Studios
485,Fullbright
486,Funatics Software
487,Funcom
488,Funnel Inc.
489,"Funselektor Labs Inc.,FlippFly"
490,G5 Software
491,GATO STUDIO
492,GDNomad
493,GRIP Digital s.r.o.
494,GSC Game World
495,GTGD
496,GabberGames.com
497,GabryGa
498,Gaddy Games
499,Gaijin Entertainment
500,Gaijin Entertainment Corporation
501,Gaijin Games
502,Galactic Cafe
503,Galaxy Gate
504,GalaxyTrail
